Filename,Predictions
1.png,deer
10.png,dog
100.png,bird
1000.png,deer
10000.png,cat
100000.png,deer
100001.png,deer
100002.png,deer
100003.png,frog
100004.png,automobile
100005.png,frog
100006.png,truck
100007.png,cat
100008.png,airplane
100009.png,truck
10001.png,cat
100010.png,horse
100011.png,dog
100012.png,airplane
100013.png,airplane
100014.png,cat
100015.png,bird
100016.png,dog
100017.png,automobile
100018.png,truck
100019.png,cat
10002.png,frog
100020.png,dog
100021.png,cat
100022.png,ship
100023.png,automobile
100024.png,ship
100025.png,truck
100026.png,deer
100027.png,frog
100028.png,truck
100029.png,cat
10003.png,dog
100030.png,dog
100031.png,bird
100032.png,deer
100033.png,frog
100034.png,airplane
100035.png,deer
100036.png,dog
100037.png,deer
100038.png,dog
100039.png,airplane
10004.png,airplane
100040.png,bird
100041.png,deer
100042.png,deer
100043.png,dog
100044.png,ship
100045.png,dog
100046.png,truck
100047.png,truck
100048.png,frog
100049.png,ship
10005.png,deer
100050.png,cat
100051.png,dog
100052.png,deer
100053.png,truck
100054.png,automobile
100055.png,truck
100056.png,bird
100057.png,cat
100058.png,frog
100059.png,bird
10006.png,airplane
100060.png,deer
100061.png,ship
100062.png,cat
100063.png,ship
100064.png,deer
100065.png,cat
100066.png,ship
100067.png,cat
100068.png,truck
100069.png,dog
10007.png,horse
100070.png,cat
100071.png,automobile
100072.png,dog
100073.png,bird
100074.png,frog
100075.png,dog
100076.png,automobile
100077.png,cat
100078.png,bird
100079.png,cat
10008.png,airplane
100080.png,airplane
100081.png,airplane
100082.png,deer
100083.png,automobile
100084.png,dog
100085.png,cat
100086.png,automobile
100087.png,cat
100088.png,horse
100089.png,frog
10009.png,deer
100090.png,automobile
100091.png,deer
100092.png,cat
100093.png,cat
100094.png,cat
100095.png,ship
100096.png,truck
100097.png,cat
100098.png,cat
100099.png,truck
1001.png,bird
10010.png,ship
100100.png,dog
100101.png,deer
100102.png,deer
100103.png,automobile
100104.png,airplane
100105.png,bird
100106.png,deer
100107.png,deer
100108.png,cat
100109.png,airplane
10011.png,dog
100110.png,airplane
100111.png,automobile
100112.png,cat
100113.png,cat
100114.png,deer
100115.png,cat
100116.png,automobile
100117.png,cat
100118.png,cat
100119.png,deer
10012.png,airplane
100120.png,dog
100121.png,bird
100122.png,ship
100123.png,bird
100124.png,deer
100125.png,truck
100126.png,dog
100127.png,dog
100128.png,cat
100129.png,truck
10013.png,bird
100130.png,bird
100131.png,truck
100132.png,cat
100133.png,bird
100134.png,cat
100135.png,dog
100136.png,dog
100137.png,airplane
100138.png,frog
100139.png,airplane
10014.png,bird
100140.png,airplane
100141.png,automobile
100142.png,dog
100143.png,cat
100144.png,ship
100145.png,bird
100146.png,automobile
100147.png,ship
100148.png,cat
100149.png,deer
10015.png,bird
100150.png,automobile
100151.png,frog
100152.png,deer
100153.png,cat
100154.png,truck
100155.png,deer
100156.png,ship
100157.png,deer
100158.png,deer
100159.png,ship
10016.png,bird
100160.png,frog
100161.png,cat
100162.png,bird
100163.png,deer
100164.png,truck
100165.png,cat
100166.png,bird
100167.png,automobile
100168.png,cat
100169.png,automobile
10017.png,truck
100170.png,cat
100171.png,cat
100172.png,truck
100173.png,truck
100174.png,airplane
100175.png,ship
100176.png,dog
100177.png,cat
100178.png,cat
100179.png,automobile
10018.png,cat
100180.png,truck
100181.png,truck
100182.png,deer
100183.png,bird
100184.png,cat
100185.png,bird
100186.png,cat
100187.png,airplane
100188.png,airplane
100189.png,ship
10019.png,truck
100190.png,deer
100191.png,truck
100192.png,ship
100193.png,bird
100194.png,frog
100195.png,frog
100196.png,truck
100197.png,bird
100198.png,dog
100199.png,bird
1002.png,airplane
10020.png,deer
100200.png,dog
100201.png,ship
100202.png,ship
100203.png,deer
100204.png,cat
100205.png,deer
100206.png,cat
100207.png,cat
100208.png,truck
100209.png,dog
10021.png,ship
100210.png,dog
100211.png,cat
100212.png,truck
100213.png,bird
100214.png,dog
100215.png,frog
100216.png,truck
100217.png,truck
100218.png,deer
100219.png,ship
10022.png,cat
100220.png,frog
100221.png,deer
100222.png,truck
100223.png,automobile
100224.png,truck
100225.png,deer
100226.png,frog
100227.png,bird
100228.png,dog
100229.png,cat
10023.png,airplane
100230.png,dog
100231.png,deer
100232.png,deer
100233.png,frog
100234.png,airplane
100235.png,dog
100236.png,automobile
100237.png,truck
100238.png,deer
100239.png,deer
10024.png,dog
100240.png,airplane
100241.png,ship
100242.png,ship
100243.png,truck
100244.png,frog
100245.png,cat
100246.png,cat
100247.png,frog
100248.png,truck
100249.png,bird
10025.png,deer
100250.png,dog
100251.png,bird
100252.png,airplane
100253.png,dog
100254.png,truck
100255.png,airplane
100256.png,airplane
100257.png,airplane
100258.png,cat
100259.png,bird
10026.png,truck
100260.png,frog
100261.png,cat
100262.png,airplane
100263.png,automobile
100264.png,airplane
100265.png,cat
100266.png,ship
100267.png,airplane
100268.png,truck
100269.png,frog
10027.png,ship
100270.png,truck
100271.png,bird
100272.png,ship
100273.png,deer
100274.png,truck
100275.png,automobile
100276.png,deer
100277.png,cat
100278.png,bird
100279.png,cat
10028.png,dog
100280.png,frog
100281.png,truck
100282.png,deer
100283.png,deer
100284.png,dog
100285.png,truck
100286.png,ship
100287.png,airplane
100288.png,truck
100289.png,deer
10029.png,deer
100290.png,bird
100291.png,truck
100292.png,truck
100293.png,airplane
100294.png,ship
100295.png,deer
100296.png,bird
100297.png,cat
100298.png,deer
100299.png,bird
1003.png,bird
10030.png,automobile
100300.png,deer
100301.png,truck
100302.png,bird
100303.png,deer
100304.png,cat
100305.png,automobile
100306.png,truck
100307.png,automobile
100308.png,frog
100309.png,truck
10031.png,cat
100310.png,bird
100311.png,frog
100312.png,deer
100313.png,airplane
100314.png,automobile
100315.png,truck
100316.png,deer
100317.png,deer
100318.png,truck
100319.png,airplane
10032.png,automobile
100320.png,deer
100321.png,dog
100322.png,cat
100323.png,truck
100324.png,cat
100325.png,cat
100326.png,ship
100327.png,cat
100328.png,bird
100329.png,dog
10033.png,truck
100330.png,automobile
100331.png,dog
100332.png,airplane
100333.png,bird
100334.png,automobile
100335.png,automobile
100336.png,ship
100337.png,deer
100338.png,cat
100339.png,deer
10034.png,truck
100340.png,truck
100341.png,deer
100342.png,deer
100343.png,dog
100344.png,automobile
100345.png,cat
100346.png,deer
100347.png,frog
100348.png,bird
100349.png,cat
10035.png,truck
100350.png,deer
100351.png,frog
100352.png,cat
100353.png,frog
100354.png,deer
100355.png,ship
100356.png,truck
100357.png,frog
100358.png,airplane
100359.png,ship
10036.png,automobile
100360.png,truck
100361.png,truck
100362.png,deer
100363.png,ship
100364.png,deer
100365.png,horse
100366.png,horse
100367.png,airplane
100368.png,deer
100369.png,airplane
10037.png,airplane
100370.png,horse
100371.png,truck
100372.png,dog
100373.png,ship
100374.png,cat
100375.png,automobile
100376.png,automobile
100377.png,bird
100378.png,deer
100379.png,automobile
10038.png,deer
100380.png,cat
100381.png,deer
100382.png,deer
100383.png,deer
100384.png,cat
100385.png,truck
100386.png,truck
100387.png,automobile
100388.png,truck
100389.png,dog
10039.png,horse
100390.png,ship
100391.png,frog
100392.png,cat
100393.png,deer
100394.png,airplane
100395.png,deer
100396.png,airplane
100397.png,ship
100398.png,truck
100399.png,frog
1004.png,cat
10040.png,cat
100400.png,airplane
100401.png,airplane
100402.png,truck
100403.png,frog
100404.png,dog
100405.png,ship
100406.png,bird
100407.png,deer
100408.png,airplane
100409.png,dog
10041.png,deer
100410.png,frog
100411.png,truck
100412.png,dog
100413.png,dog
100414.png,bird
100415.png,cat
100416.png,truck
100417.png,ship
100418.png,frog
100419.png,truck
10042.png,ship
100420.png,truck
100421.png,horse
100422.png,cat
100423.png,deer
100424.png,cat
100425.png,truck
100426.png,deer
100427.png,deer
100428.png,automobile
100429.png,ship
10043.png,ship
100430.png,cat
100431.png,cat
100432.png,truck
100433.png,truck
100434.png,cat
100435.png,cat
100436.png,deer
100437.png,ship
100438.png,ship
100439.png,deer
10044.png,deer
100440.png,truck
100441.png,deer
100442.png,cat
100443.png,ship
100444.png,bird
100445.png,automobile
100446.png,ship
100447.png,deer
100448.png,airplane
100449.png,truck
10045.png,automobile
100450.png,horse
100451.png,bird
100452.png,deer
100453.png,bird
100454.png,cat
100455.png,bird
100456.png,deer
100457.png,truck
100458.png,deer
100459.png,frog
10046.png,deer
100460.png,deer
100461.png,dog
100462.png,deer
100463.png,bird
100464.png,truck
100465.png,cat
100466.png,bird
100467.png,deer
100468.png,cat
100469.png,truck
10047.png,truck
100470.png,bird
100471.png,ship
100472.png,truck
100473.png,truck
100474.png,horse
100475.png,deer
100476.png,cat
100477.png,deer
100478.png,truck
100479.png,cat
10048.png,frog
100480.png,bird
100481.png,truck
100482.png,cat
100483.png,cat
100484.png,automobile
100485.png,cat
100486.png,deer
100487.png,cat
100488.png,frog
100489.png,cat
10049.png,cat
100490.png,automobile
100491.png,deer
100492.png,cat
100493.png,deer
100494.png,bird
100495.png,deer
100496.png,cat
100497.png,cat
100498.png,cat
100499.png,cat
1005.png,cat
10050.png,truck
100500.png,airplane
100501.png,bird
100502.png,truck
100503.png,truck
100504.png,deer
100505.png,cat
100506.png,truck
100507.png,cat
100508.png,airplane
100509.png,airplane
10051.png,dog
100510.png,cat
100511.png,truck
100512.png,bird
100513.png,cat
100514.png,cat
100515.png,airplane
100516.png,bird
100517.png,frog
100518.png,frog
100519.png,ship
10052.png,dog
100520.png,cat
100521.png,truck
100522.png,deer
100523.png,bird
100524.png,airplane
100525.png,airplane
100526.png,truck
100527.png,deer
100528.png,dog
100529.png,truck
10053.png,airplane
100530.png,cat
100531.png,airplane
100532.png,ship
100533.png,bird
100534.png,frog
100535.png,truck
100536.png,dog
100537.png,bird
100538.png,ship
100539.png,bird
10054.png,airplane
100540.png,deer
100541.png,cat
100542.png,truck
100543.png,ship
100544.png,deer
100545.png,dog
100546.png,automobile
100547.png,airplane
100548.png,cat
100549.png,cat
10055.png,bird
100550.png,dog
100551.png,deer
100552.png,dog
100553.png,horse
100554.png,deer
100555.png,cat
100556.png,horse
100557.png,ship
100558.png,horse
100559.png,automobile
10056.png,ship
100560.png,bird
100561.png,automobile
100562.png,deer
100563.png,horse
100564.png,truck
100565.png,airplane
100566.png,airplane
100567.png,frog
100568.png,ship
100569.png,cat
10057.png,truck
100570.png,truck
100571.png,automobile
100572.png,truck
100573.png,dog
100574.png,truck
100575.png,deer
100576.png,bird
100577.png,frog
100578.png,frog
100579.png,deer
10058.png,airplane
100580.png,cat
100581.png,horse
100582.png,truck
100583.png,deer
100584.png,ship
100585.png,dog
100586.png,frog
100587.png,airplane
100588.png,automobile
100589.png,ship
10059.png,deer
100590.png,frog
100591.png,bird
100592.png,automobile
100593.png,automobile
100594.png,truck
100595.png,bird
100596.png,airplane
100597.png,cat
100598.png,bird
100599.png,ship
1006.png,cat
10060.png,horse
100600.png,dog
100601.png,bird
100602.png,deer
100603.png,cat
100604.png,airplane
100605.png,ship
100606.png,truck
100607.png,deer
100608.png,ship
100609.png,airplane
10061.png,automobile
100610.png,dog
100611.png,deer
100612.png,deer
100613.png,bird
100614.png,automobile
100615.png,automobile
100616.png,deer
100617.png,airplane
100618.png,truck
100619.png,frog
10062.png,automobile
100620.png,deer
100621.png,bird
100622.png,truck
100623.png,deer
100624.png,truck
100625.png,automobile
100626.png,dog
100627.png,deer
100628.png,cat
100629.png,truck
10063.png,cat
100630.png,deer
100631.png,deer
100632.png,deer
100633.png,cat
100634.png,automobile
100635.png,dog
100636.png,ship
100637.png,truck
100638.png,horse
100639.png,cat
10064.png,cat
100640.png,truck
100641.png,deer
100642.png,truck
100643.png,cat
100644.png,airplane
100645.png,deer
100646.png,deer
100647.png,dog
100648.png,airplane
100649.png,truck
10065.png,ship
100650.png,cat
100651.png,deer
100652.png,ship
100653.png,truck
100654.png,dog
100655.png,dog
100656.png,airplane
100657.png,deer
100658.png,bird
100659.png,bird
10066.png,cat
100660.png,bird
100661.png,deer
100662.png,ship
100663.png,ship
100664.png,cat
100665.png,cat
100666.png,cat
100667.png,cat
100668.png,deer
100669.png,cat
10067.png,bird
100670.png,ship
100671.png,cat
100672.png,cat
100673.png,horse
100674.png,deer
